table_id;title;artists;writers;isrcs;iswcs;expected_result;result;assertion
check_asset_if_pd;"Don Giovanni, K. 527, Act 1 Scene 9: No. 7, Duettino, ""Là ci darem la mano"" (Don Giovanni, Zerlina)";Placido Domingo, Susan Graham, Orchestra of the Royal Opera House, Covent Garden, Asher Fisch;Simon Woods/Wolfgang Amadeus Mozart;GBAYC9600014;;True;;
check_asset_if_pd;Requiem in D Minor, K.626, IWM 441: IV. Sequenz. Tuba mirum (Elisabeth Schumann, Kerstin Thorborg, Anton Dermota, Alexander Kipnis);Wiener Philharmoniker, Bruno Walter, Elisabeth Schumann, Kerstin Thorborg, Anton Dermota, Alexander Kipnis;Wolfgang Amadeus Mozart;ITE012100399;;True;;
check_asset_if_pd;Mozart: Allegro From Serenade In G Major No.13 K. 525 - Eine Kleine Nachtmusik (모차르트: 아이네 클라이네 나흐트무지크 1악장, 영화 에이스 벤츄라 중에서);Ordinary People(오디너리 피플);CHRIS COZENS/WOLFGANG AMADEUS MOZART;KRF502004663;T9094915512;True;;
check_asset_if_pd;Mozart: Flute and Harp Concerto in C Major, K. 299: II. Andantino;Fanny Martin, Elisa Jouve;Wolfgang Amadeus Mozart;GBAYC1601427;;True;;
check_asset_if_pd;Divertimento in B-Flat Major, K. Anh. 227: I. Allegro;Henk de Graaf, Jan Jansen, Remco De Vries, Sandra Zoe, Ron Tijhuis, Irma Kort, Johan Steinmann, Dymphna van Dooremaal, Martin van de Merwe & Jos Buurman, Henk de Graaf, Jan Jansen, Remco De Vries, Sandra Zoe, Ron Tijhuis, Irma Kort, Johan Steinman...;Wolfgang Amadeus Mozart;NLY331410634;;True;;
check_asset_if_pd;Beethoven : Piano Sonata No.8 In C Minor Op.13 'Pathetique' - III. Rondo. Allegro (베토벤 : 피아노 소나타 8번 다단조 작품번호 13 '비창' - 3악장);조용한 피아노;조용한 피아노/Ludwig Van Beethoven;KSA002200650;;True;;
check_asset_if_pd;Ha! welch´ ein Augenblick! (Fidelio);Hilde Konetzni / Torsten Ralf / Tomislav Neralić / Herbert Alsen / Chor der Wiener Staatsoper / Orchester der Wiener Staatsoper in der Volksoper / Peter Klein / Hans Schweiger / Irmgard Seefried / Paul Schöffler / Hermann Gallos;Peter Klein/Torsten Ralf/Herbert Alsen/Hans Schweiger/Hermann Gallos/Hilde Konetzni/Paul Schöffler/Irmgard Seefried/Tomislav Neralić/Ludwig van Beethoven/Chor der Wiener Staatsoper/Orchester der Wiener Staatsoper in der Volksoper;ATP139419508;;True;;
check_asset_if_pd;Symphonie No. 9 en Ré Mineur, Op. 125: I. Allegro ma non troppo - un poco maestoso;Rafael Kubelik, Elsie Morison, The Danish National Radio Symphony Orchestra, Else Brems, Ernst Haefliger, Forbes Robinson;Ludwig van Beethoven;FRE485910629;;True;;
check_asset_if_pd;Anxious Feeling;LEE SE YEON;이세연/L.V.Beethoven, 이세연;KRA492200209;;True;;
check_asset_if_pd;Romance;Peter Katin;Edvard Grieg/Edward Elgar/Joseph Haydn/Gustav Merkel/Jacques Ibert/Joseph Ascher/Thomas Wilson/Anatoly Lyadov/Claude Debussy/Franz Schubert/Isaac Albéniz/Jules Massenet/Stephen Heller/Federico Mompou/Johannes Brahms/Robert Schumann/Alphons Czibulka/Antonin Dvořák/Edward Macdowell/Enrique Granados/Alexander Kopylov/Felix Mendelssohn/Frédéric Chopin/Moritz Moszkowski/Nikolai Rubinstein/Louis-Claude Daquin/Camille Saint-Saëns/Leopold Grützmacher/Ludwig van Beethoven/George Frideric Handel/Theodor Wilhelm Engelmann;GBLGL1000532;;True;;
check_asset_if_pd;Bach, J.S.: Das wohltemperierte Klavier, Book 1, BWV 846-869: Prelude & Fugue No. 1 in C Major, BWV 846. I. Prelude;Daniel Barenboim;Bach, Johann Sebastian/Orbit, William;GBELP0400171;T9115512271;True;;
check_asset_if_pd;So Am I (Instrumental);Piano Dreamers;GROMBACHER GIGI/KOCI AMANDA/PUTH CHARLIE OTTO JR/SMITH MARIA JANE/SPRECKLEY ROLAND MAX/THELL VIKTOR ALEXANDER/WALTER HENRY RUSSELL;USG7D1999312;T9283024442;False;;
check_asset_if_pd;THATS WHAT I WANT;Chipto Munk;Omer Fedi/Keegan Bach/Ryan Tedder/Montero Hill/Blake Slatkin;QZPJ32150524;T3072945934;True;;
check_asset_if_pd;Fantasia & Fugue in G Minor, BWV 542: Fantasia and Fugue in G Minor, BWV 542: Fantasia;Gerhard Weinberger;Johann Sebastian Bach/Walter H. Barnes;DEB200075405;T9125405881;True;;
check_asset_if_pd;THATS WHAT I WANT (Acoustic Covers Versions);NORMANDY;Omer Fedi/Keegan Bach/Ryan Tedder/Montero Hill/Blake Slatkin/Copyright Control;NLRD52083285;;True;;
check_asset_if_pd;Mialo Mou Epikindino;Angela Dimitriou;Andreas Mexas/Giorgps Papagiannopoulos;GRE010200672;;False;;
check_asset_if_pd;Afta Pou Krivis;Manolis Lidakis;Bougas Panagiotis/Andonis Andrikakis;GRS018800167;;False;;
check_asset_if_pd;Thalassa;Margarita Zorbala;Lina Nikolakopoulou/Thanos Mikroutsikos;GRE010000013;;False;;
check_asset_if_pd;Up Up Up;Saunder Jurriaans, Danny Bensi;Danny Bensi/Saunder Jurriaans;QZ8BZ2000517;;False;;
check_asset_if_pd;You Spin Me Round (Like a Record);Halloween Songs;Burns Peter Jozzepi/Coy Stephen/Dillard Tramar/Franks Justin Scott/Gottwald Lukasz/Grigg Allan Peter/Lawrence Phil/Lever Timothy John/Mars Bruno/Percy Michael David;GBPS81528744;T9020593219;False;;
check_asset_if_pd;We Made It (c);David John Vanacore|John P Nooney;;GBBHR1401911;;False;;
check_asset_if_pd;He's Mine (Talking To Monica & Brandy);Novella Sweet Briar;Kenya Malik Hadley/Marquis X. Dair/Monifa Dara Bethune/Prince Rogers Nelson/Roger Troutman/Stephanie Suzette Sinclair;USA370368866;T0708982562;False;;
check_asset_if_pd;"Purcell : Timon of Athens Z632 : XVI ""Return, revolting rebels""";Gustav Leonhardt;HENRY PURCELL/PETE TOWNSHEND;DEA806716800;;False;;
